Date,Commodity,NonComm Long,NonComm Short,NonComm Net
2025-01-07,Canola,26281,100602,-74321
2025-01-14,Canola,40812,87890,-47078
2025-01-21,Canola,45836,100095,-54259
2025-01-28,Canola,56996,96357,-39361
2025-02-04,Canola,71684,80257,-8573
2025-02-11,Canola,96322,54617,41705
2025-02-18,Canola,116181,47083,69098
2025-02-25,Canola,126425,46064,80361
2025-03-04,Canola,114407,53446,60961
2025-03-11,Canola,86884,59066,27818
2025-03-18,Canola,62020,87050,-25030
2025-03-25,Canola,45896,106437,-60541
2025-04-01,Canola,49304,109686,-60382
2025-04-08,Canola,44665,76885,-32220
2025-04-15,Canola,68964,48112,20852
2025-04-22,Canola,94577,46743,47834
2025-04-29,Canola,107870,38580,69290
2025-01-07,Cocoa,48729,12935,35794
2025-01-14,Cocoa,49216,12356,36860
2025-01-21,Cocoa,50408,12943,37465
2025-01-28,Cocoa,49950,12982,36968
2025-02-04,Cocoa,48473,13083,35390
2025-02-11,Cocoa,40947,14128,26819
2025-02-18,Cocoa,41996,13987,28009
2025-02-25,Cocoa,32525,13074,19451
2025-03-04,Cocoa,29410,11759,17651
2025-03-11,Cocoa,28388,11092,17296
2025-03-18,Cocoa,28342,11872,16470
2025-03-25,Cocoa,28864,10586,18278
2025-04-01,Cocoa,30747,12146,18601
2025-04-08,Cocoa,26815,9017,17798
2025-04-15,Cocoa,23423,8812,14611
2025-04-22,Cocoa,25112,9535,15577
2025-04-29,Cocoa,27337,9985,17352
2025-01-07,Corn,506413,186600,319813
2025-01-14,Corn,534428,186353,348075
2025-01-21,Corn,587335,194412,392923
2025-01-28,Corn,617299,173424,443875
2025-02-04,Corn,626001,163620,462381
2025-02-11,Corn,586274,161505,424769
2025-02-18,Corn,627494,158770,468724
2025-02-25,Corn,597706,156545,441161
2025-03-04,Corn,492878,157440,335438
2025-03-11,Corn,449005,180648,268357
2025-03-18,Corn,441602,202226,239376
2025-03-25,Corn,416135,215764,200371
2025-04-01,Corn,412771,245902,166869
2025-04-08,Corn,418031,245149,172882
2025-04-15,Corn,438836,204654,234182
2025-04-22,Corn,450712,230869,219843
2025-04-29,Corn,412036,236607,175429
2025-01-07,Cotton,60500,92584,-32084
2025-01-14,Cotton,63438,99179,-35741
2025-01-21,Cotton,66257,106208,-39951
2025-01-28,Cotton,64766,107194,-42428
2025-02-04,Cotton,64897,115664,-50767
2025-02-11,Cotton,68832,111397,-42565
2025-02-18,Cotton,72320,109388,-37068
2025-02-25,Cotton,72674,116160,-43486
2025-03-04,Cotton,70011,132148,-62137
2025-03-11,Cotton,65937,122661,-56724
2025-03-18,Cotton,64425,113729,-49304
2025-03-25,Cotton,65048,119054,-54006
2025-04-01,Cotton,70529,112508,-41979
2025-04-08,Cotton,66636,101662,-35026
2025-04-15,Cotton,59870,88326,-28456
2025-04-22,Cotton,60797,85875,-25078
2025-04-29,Cotton,65344,77082,-11738
2025-01-07,Hard Red Winter Wheat,75914,91786,-15872
2025-01-14,Hard Red Winter Wheat,73855,94599,-20744
2025-01-21,Hard Red Winter Wheat,76279,94246,-17967
2025-01-28,Hard Red Winter Wheat,73431,97581,-24150
2025-02-04,Hard Red Winter Wheat,69771,83735,-13964
2025-02-11,Hard Red Winter Wheat,63312,73342,-10030
2025-02-18,Hard Red Winter Wheat,58070,60119,-2049
2025-02-25,Hard Red Winter Wheat,51278,56328,-5050
2025-03-04,Hard Red Winter Wheat,50098,77673,-27575
2025-03-11,Hard Red Winter Wheat,52893,89087,-36194
2025-03-18,Hard Red Winter Wheat,55013,84666,-29653
2025-03-25,Hard Red Winter Wheat,52273,85137,-32864
2025-04-01,Hard Red Winter Wheat,60579,95461,-34882
2025-04-08,Hard Red Winter Wheat,60702,100886,-40184
2025-04-15,Hard Red Winter Wheat,61931,101220,-39289
2025-04-22,Hard Red Winter Wheat,60461,104231,-43770
2025-04-29,Hard Red Winter Wheat,62237,116582,-54345
2025-01-07,Rough Rice,2315,6390,-4075
2025-01-14,Rough Rice,2275,5929,-3654
2025-01-21,Rough Rice,2398,5009,-2611
2025-01-28,Rough Rice,2357,3842,-1485
