Date,Commodity,NonComm Long,NonComm Short,NonComm Net
2024-04-30,10-Year T-Note,451643,884608,-432965
2024-05-07,10-Year T-Note,455924,937544,-481620
2024-05-14,10-Year T-Note,522351,870162,-347811
2024-05-21,10-Year T-Note,493503,894475,-400972
2024-05-28,10-Year T-Note,498320,886495,-388175
2024-06-04,10-Year T-Note,447213,901968,-454755
2024-06-11,10-Year T-Note,473542,781234,-307692
2024-06-18,10-Year T-Note,418362,785968,-367606
2024-06-25,10-Year T-Note,432627,752471,-319844
2024-07-02,10-Year T-Note,476717,822093,-345376
2024-07-09,10-Year T-Note,510933,928837,-417904
2024-07-16,10-Year T-Note,378531,1016017,-637486
2024-07-23,10-Year T-Note,387445,1029374,-641929
2024-07-30,10-Year T-Note,415036,1143506,-728470
2024-08-06,10-Year T-Note,441721,1217929,-776208
2024-08-13,10-Year T-Note,458121,1318364,-860243
2024-08-20,10-Year T-Note,411629,1449741,-1038112
2024-08-27,10-Year T-Note,421807,1336244,-914437
2024-09-03,10-Year T-Note,430206,1433033,-1002827
2024-09-10,10-Year T-Note,409121,1431226,-1022105
2024-09-17,10-Year T-Note,431039,1525065,-1094026
2024-09-24,10-Year T-Note,467828,1493106,-1025278
2024-10-01,10-Year T-Note,454080,1597969,-1143889
2024-10-08,10-Year T-Note,489605,1449734,-960129
2024-10-15,10-Year T-Note,477930,1342995,-865065
2024-10-22,10-Year T-Note,478831,1327022,-848191
2024-10-29,10-Year T-Note,429078,1330261,-901183
2024-11-05,10-Year T-Note,451405,1269675,-818270
2024-11-12,10-Year T-Note,419160,1234961,-815801
2024-11-19,10-Year T-Note,424509,1332011,-907502
2024-11-26,10-Year T-Note,427617,1354220,-926603
2024-12-03,10-Year T-Note,434911,1326812,-891901
2024-12-10,10-Year T-Note,438538,1314254,-875716
2024-12-17,10-Year T-Note,492529,1225446,-732917
2024-12-24,10-Year T-Note,521369,1112743,-591374
2024-12-31,10-Year T-Note,543132,1196895,-653763
2025-01-07,10-Year T-Note,609821,1282267,-672446
2025-01-14,10-Year T-Note,677811,1245746,-567935
2025-01-21,10-Year T-Note,654181,1234426,-580245
2025-01-28,10-Year T-Note,683437,1384079,-700642
2025-02-04,10-Year T-Note,743405,1451108,-707703
2025-02-11,10-Year T-Note,726203,1477237,-751034
2025-02-18,10-Year T-Note,727934,1437461,-709527
2025-02-25,10-Year T-Note,677868,1377723,-699855
2025-03-04,10-Year T-Note,637490,1349530,-712040
2025-03-11,10-Year T-Note,584993,1322068,-737075
2025-03-18,10-Year T-Note,569934,1451308,-881374
2025-03-25,10-Year T-Note,631125,1441215,-810090
2025-04-01,10-Year T-Note,562258,1425521,-863263
2025-04-08,10-Year T-Note,452496,1530966,-1078470
2025-04-15,10-Year T-Note,474770,1412525,-937755
2025-04-22,10-Year T-Note,495027,1401133,-906106
2025-04-29,10-Year T-Note,496546,1368083,-871537
2024-04-30,2-Year T-Note,487267,1503710,-1016443
